115361 8ff39d0b 1662429857 从bch纠错码来的，码多项式运算在通信原理第七版11章有详细介绍
115972 a5f9ac6a 1617290005 网上有常用的多项式，可以去搜索一下
116245 ed506342 1615432740 就是二进制转十进制差不多
117280 e15ad095 1623756213 "只看了开头就投了两个币  仅仅画质就体现了UP的用心与真诚！"
119000 44f6c92d 1648833391 我得到的余数和答案是反过来的，我不理解
119022 dfd02f46 1665239568 终于看到姓柏的本家了
123159 71974ce1 1643163113 多项式怎么来的？？？？、
129587 957a35bb 1639359844 海科物联网一班的
131408 d3a1898e 1671342293 李俊华
133168 c94b6c68 1729305181 有的项数就是1，没有的项就是0
133840 b3fbd2b2 1624001486 这讲的也太清楚了吧！！！币奉上！
134634 b3793690 1702021200 听懂掌声！
135186 85ed7c5 1651820385 这个怎么得出来的，看不懂啊
136532 66f18cbd 1594354305 6p了
136981 b1bacfc0 1723187701 最高位不去掉吗？
138347 4a8aeba3 1567091853 厉害
138844 54707e0a 1659537727 "所以为什么不解释 多项式怎么来的  为什么要用这个多项式"
139565 d233f5d3 1586228449 666
139631 eebdcb99 1679299301 这么说有出现就是1，没有出现就是0，是这个意思吧
141111 3c452d30 1670486458 就是前面的系数呀宝子
141759 1652c661 1601956057 "爱了  爱了"
145790 a0568529 1732094423 多项式是收发双方提前约定的，与原理无关，题干一般会给
146657 1eebd776 1577500947 蛋蛋在看吗
147138 87739961 1624710507 ？？？？？？？？？？？怎么清楚了
148422 e2dd2e37 1567752846 厉害
149087 379daeed 1584328526 6
150899 895ba2f0 1583833038 up主讲的真的非常详细i了i了
152359 d4ce3f64 1567010847 好评
153142 10d53b01 1723598860 多项式有协议规定的
153242 50889172 1631626826 这个视频好好
154468 8a130dcb 1568628887 太形象了
154967 91428977 1587736393 0.75倍速看
155838 2a960bc2 1626168436 宋蛋在看吗
156136 d20c6949 1683367009 各位88
156388 6fffb0fd 1596854072 这PPT牛啊
156688 8be746e1 1607140491 "明天考计算机网络 来了"
157422 24504e90 1684033500 母猪产后护理
158995 c05db6cc 1616903086 牛皮，思路太清晰了
160088 ae88cf57 1638241136 尼玛的太用心了吧这做的
160089 232c8e80 1576990514 太棒了
162968 b6d509a2 1666501883 专业
162985 29ac8bae 1615290210 讲的太细了
164137 2c2e14cb 1597851159 牛
168401 babf4ba2 1620381552 补0是在数据流结尾加还是在最低位加
168447 9e53fdef 1639638841 宋子轩不要玩手机
171451 441e79f5 1638015257 |||++
172212 85253863 1671527141 这下懂了
175436 d41182c9 1569598065 这动画也太舒服了
177383 29d70467 1636095245 太棒了
182428 e0c58335 1692107686 为什么多出来了011？
182628 7dec93e 1574911831 这数据串哪来的啊？
182669 504e080c 1677155903 万涵不要再卷了
183428 62fe6b8d 1586583741 数据串是哪来的啊？
183452 b8cb26f 1696828484 数据串怎么出来的
185096 7578a806 1590408352 PPT切换平滑吗？
187890 bc387ad 1711016615 数据串就是我们需要校验的那个
189131 8ee2f458 1635162083 太牛了
189382 1f6e369a 1578416446 题干上有
189456 947df8ed 1590463619 软工专业的来补课了
189625 f0a685f8 1607349390 i了i了
189978 d8256843 1575198955 题目给的
190113 31a40eed 1670109863 像在玩治愈游戏
190623 18c003aa 1674871745 这个数据串怎么感觉不对
190654 972959e3 1600692164 数据串是要传输的数据
191419 12b1f22 1589298279 数据串是你要校验的的数据
191850 b29725ff 1653016378 加0的个数不是加生成多项式的次数吗？？？
192354 324df112 1587087270 数据串是题目给的呀。
192584 9de89bc2 1639035550 哈哈哈哈哈数据串就是编的题目呀
194655 93676230 1696948326 太专业了！教练我要学这个！！
197972 b9c510d5 1686568698 所以如果首位是零怎么计算呢？
198513 a875fdb0 1668395140 丝滑
198630 c607c6a2 1718247822 加的0标个颜色就更好了
202782 16fe1dad 1710223177 王子铭
205765 ea292a84 1727002979 对于一个多项式，他的各个系数=CRC除数，他本身+他的最高次方个0=被除数
205827 185edc4b 1578328599 懂了，这个讲的好清晰
207835 7fe9c07 1638864382 明天考计网
210310 650495f 1676948063 多项式是通信的双方约定的，采用相同的多项式才能互相校验，因此有了多种常用的CRC多项式
211779 6bfdb990 1641284609 多项式题目给的，题目都不知道就看视频？
212142 22cdf573 1655903134 不是加n-1个0吗
212905 4168a7de 1697531319 叶绍衡前来观看
213091 3cc02334 1634473454 加0的原因应该就是不算小数，而取整
214768 ac947e16 1657161106 简直是艺术品，怎么做出来的效果，用什么软件，我也想做这样的类似视频
217771 b19d8489 1619019394 多项式是由crc算法生成的，是基于传输的数据串生成的，一般题目会直接给出
217962 64734c2f 1630639585 卧槽，数学不及格的我居然能看懂
219339 e8f35f09 1639638761 一键三连
221765 abec140f 1600866955 赖家仓
223504 640cb94f 1682420698 "丝滑，， 太丝滑了"
223935 7f5e7995 1681209901 好喜欢好喜欢，终于看明白了
229561 27929a07 1696246645 牛逼
230967 7e75c0c 1607853381 已经懵了
234307 164a0ec7 1610329335 就当是除法那样操作，只不过进行的是异或，相同为0不同为1
234993 2b73db1 1637846156 照着写就行
238707 abf5dba6 1719657113 "相当于如果最高位是0，直接左移动 "
240039 57c5f923 1721725570 有没有长沙财经的
240371 2ce37145 1715676329 我忍不住也要写个弹幕了，做得真的很详细，第一次接触这个CRC，这个视频帮助我理解了其中的逻辑。点赞
244829 39f84793 1619180263 我就是来看这个模二除是怎么算商的
248350 2fd4f217 1660488263 卷积？
249406 b5577b44 1713676268 和十进制乘法是完全一样的
249603 e9001488 1639638771 吕士云吕士云吕士云吕士云
259872 7baad874 1668914679 和除法一样
261722 def0fbba 1685503616 66666
262552 768fd5d2 1570692700 原来是这样循环的啊
264385 1ddff928 1638861399 忽然感觉很美
265410 11fc36c7 1592057599 正在复习数据链路层
266075 4f19626a 1639226651 \
269424 4f90673c 1575106984 明白了！
270322 1f90ab03 1716949158 我们教材上叫模二除，写成除法的形式
271617 44d7440b 1635076725 太好了做的
271778 60736bab 1583763259 好厉害
273632 3f0de86b 1689906790 原来这样
274158 e575a122 1669622921 视频做的太好了，清晰易懂
274259 fc74ad6d 1597135733 BGM好听
275526 70a8b90 1664250432 这里可以去看看长除法
275971 1423646d 1602940362 这个不就是除了余数模2吗
276752 160569a2 1583671091 "讲的太清楚了 比授课老师强"
276775 86b2717d 1641199997 燃起来了
279246 780503b8 1589627379 太棒了
